antioxidants	Oxygen	residues	oxidants
adult	male	phenotype	clone
Bones	Muscles	Thumbs	backbone
depth	latitude	variation	elevation
mountain ranges	fossils	magma	tree rings
produce hormones	nitrogen hormones	Human Hormones	plant hormones
chromosomes	egg only	sperm only	sperm and eggs
vines	fungus	shrubs	deciduous
increased viscosity	low viscosity	intense viscosity	highly viscous
incorrect array	normal array	occasional array	regular array
about 2 meters	about 2 feet	2 inches	about 2 km
spiders	crustaceans	corals	insects
magma	organisms	glaciers	sediments
virus reproductive system​	plant reproductive system​	female reproductive system​	male reproductive system
flowering	rooting	growth	photosynthesis
luminescence	radiation	mitosis	electroluminescence
tails	webbed feet	beaks	wings
enzymes	carbon	nitrogen	oxygen
temperature	pressure	ambient	humidity
osmosis	deposition	transfusion	diffusion
animal	reproductive	heterotroph	plant
bleeding	balding	bruising	goosebumps
epilepsy	senility	growth spurt	bone fractures
on the surface	in molecules	inside atoms	between atoms
respiratory system	cardiovascular system	blood vessels	immune system
potasium	calcium	hydrogen	nitrogen
spores	photosynthesis	asexual reproduction	sexual reproduction
colon	liver	brain	stomach
circulation	digestion	respiration	gender determination
calcium	copper	magnetite	aluminum
heavy energy	mechanical energy	Newton's energy	thermal energy
eyelid	retina	iris	pupil
do-or-die	fainting	sink-or-swim	fight-or-flight
vasculature system	ventrical system	lipids system	vestibular system
vertebrate	bicellular	nonvascular	triploblastic
amps	amperes	thermals	joules
biennial	annuals	grasses	perennials
digestion	spermatogenesis	circulation	photosynthesis
inorganic material	living organisms	carnivorous organisms	dead organisms
become super novas	explode	consumed by black hole	become red supergiants
potassium bonds	ionic bonds	magnetism	hydrogen bonds
enamel	red blood cells	white blood cells	plaque
combustion ions	calcium ions	monoxide ions	hydroxide ions
currents	resistances	weights	voltages
the sun	significant water pressure	tsunamis	extreme water pressure
large nervous system	cerebral cortex	limbic system	central nervous system
inhibitor	metabolites	polymers	enzymes
natural selection	migration	mutation	genetic drift
ancient record	biological record	species record	fossil record
speedometer	thermometer	scale	analytical balance
to distract predators	to absorb light	to attract a mate	to attract pollinators
cranial	pelvic	cardiac	abdominal
enemies	water	honey	food
cones and tubes	holes and cones	tubes and rods	rods and cones
nucleic factors	conditional factors	diverse factors	abiotic factors
nanoparticles	misnomers	analogous	enantiomers
mineral activity	oceanic activity	deserts activity	volcanic activity
MUSCULAR SYSTEM	ENDOCRINE SYSTEM	IRCULATORY SYSTEM	central nervous
vascular	striated	alveoli	smooth
sigma bonds	omega bonds	theta bonds	pi bonds
17th	7th	1st	14th
vertebrate	nematode	arthropod	invertebrate
nerve column	pillar	brain stem	backbone
boiling	change	freezing	melting
secretion	digestive	uterian	ovarian
carnivore	herbivore	vegetarian	omnivore
